student_id,day_of_week,meal_time,meal_type,is_weekend,class_day,assignment_deadline,temperature_c,humidity,wind_speed,rain_mm,air_quality_index,rising_time_min,sleeping_time_min,mess_duration_min
2101021,0,0,0,0,0,1,31.84,67.35,2.79,7.71,127.3,400,1386,10.0
2101024,2,1,0,0,0,0,26.51,45.9,2.6,0.69,78.0,503,1401,29.1
2101036,3,1,0,0,0,1,25.99,51.91,2.81,0.76,78.5,478,1368,27.81
2101066,6,1,0,1,1,1,28.7,64.35,2.44,0.0,118.7,520,1439,39.18
2101062,1,0,0,0,0,1,26.27,49.26,2.67,0.8,85.3,445,1420,22.2
2101156,4,0,0,0,0,1,28.13,52.72,3.89,0.23,88.7,475,1354,19.76
2101057,5,2,0,1,1,1,29.24,55.38,3.35,0.0,86.8,507,1413,56.61
2101177,3,0,0,0,1,1,34.45,67.19,3.56,0.27,113.0,462,1433,22.56
2101151,0,0,1,0,1,1,31.81,69.53,1.34,0.0,147.1,452,1419,32.9
2101188,4,0,0,0,0,0,32.66,60.06,3.8,0.0,100.6,467,1417,22.17
2101198,4,2,0,0,0,0,32.51,57.14,3.9,0.0,95.3,477,1363,37.33
2101015,6,1,0,1,1,1,29.31,66.53,2.19,0.37,127.7,442,1390,47.27
2101136,6,1,1,1,1,1,29.63,60.92,2.34,0.0,112.1,481,1336,47.32
2101173,0,0,0,0,0,1,31.14,72.68,1.42,0.0,140.8,481,1417,16.19
2101007,0,1,0,0,1,1,29.35,41.05,2.5,0.58,95.8,355,1390,30.65
2101033,5,2,0,1,1,1,28.76,53.78,3.88,0.85,75.4,418,1347,51.11
2101060,1,2,1,0,0,1,34.02,75.21,2.17,0.46,124.5,420,1391,54.65
2101042,4,1,0,0,0,1,28.88,51.36,3.71,0.76,81.3,391,1322,37.81
2101160,1,2,1,0,0,1,33.68,76.66,2.22,0.0,123.6,474,1394,47.45
2101027,0,0,0,0,0,1,29.06,45.73,2.42,0.0,93.8,437,1439,18.15
2101184,5,0,0,1,1,1,29.38,56.19,3.36,0.19,86.7,400,1367,35.02
2101072,4,0,0,0,0,0,32.33,62.8,3.86,0.0,105.1,399,1362,29.56
2101119,5,0,1,1,1,1,31.38,59.03,2.13,0.0,96.4,525,1394,24.49
2101082,4,2,0,0,0,0,32.34,62.5,3.87,0.99,105.5,381,1405,46.2
2101070,3,2,0,0,0,1,26.43,51.72,2.48,0.0,75.5,457,1439,37.19
2101173,3,0,0,0,0,1,33.9,65.39,3.67,0.0,116.2,439,1425,19.77
2101071,0,1,1,0,0,1,31.05,68.67,2.94,7.87,132.8,498,1331,39.45
2101195,6,0,0,1,1,0,31.16,51.44,2.67,1.1,99.1,486,1434,27.51
2101127,0,2,0,0,0,1,29.42,42.89,2.08,0.05,91.4,394,1353,42.58
2101072,0,0,0,0,0,1,29.49,43.27,2.37,0.74,102.1,429,1348,18.37
2101172,1,1,1,0,0,1,27.47,45.69,2.33,0.0,87.6,521,1436,35.8
2101056,1,0,1,0,0,1,27.97,45.27,2.64,0.0,84.7,412,1334,19.0
2101068,0,2,0,0,0,1,29.43,43.89,1.77,0.0,98.2,458,1376,37.96
2101177,0,2,0,0,1,1,30.83,65.79,3.34,7.5,131.6,460,1432,46.81
2101038,5,2,0,1,1,1,29.16,54.43,3.16,1.1,78.3,525,1430,53.41
2101176,4,0,1,0,0,1,27.77,53.67,3.64,0.0,88.5,383,1424,25.99
2101001,3,2,1,0,1,1,26.59,46.57,2.8,0.98,66.6,478,1377,59.81
2101002,2,0,0,0,0,0,25.74,41.57,2.76,0.0,73.7,376,1401,10.0
2101028,5,2,0,1,0,1,31.62,61.35,1.59,0.0,89.0,425,1398,61.11
2101123,0,2,0,0,1,1,30.88,65.88,3.25,8.08,134.0,417,1386,42.15
2101170,6,1,0,1,1,0,30.4,56.22,2.06,0.38,104.1,433,1416,34.18
2101169,3,1,0,0,0,1,33.68,61.57,3.83,0.17,114.4,364,1336,33.01
2101125,5,2,0,1,1,1,29.11,58.13,2.64,0.0,85.0,497,1435,64.05
2101128,2,0,0,0,0,1,31.45,79.31,2.97,0.22,123.4,453,1317,16.61
2101198,5,0,0,1,1,1,28.84,57.19,2.73,0.0,85.3,498,1349,29.46
2101189,2,1,0,0,0,0,26.46,42.42,2.97,1.54,75.8,425,1380,38.99
2101014,1,0,1,0,1,1,33.28,76.2,1.9,0.0,129.7,469,1360,26.87
2101112,0,2,0,0,0,1,31.72,69.84,1.7,0.11,135.4,453,1372,43.14
2101073,6,2,0,1,1,0,30.89,53.0,2.35,0.0,99.9,451,1439,38.82
2101027,0,1,1,0,0,1,31.68,69.44,1.13,0.0,147.6,402,1403,41.0
2101159,2,0,0,0,1,1,31.48,76.02,3.17,0.0,131.0,478,1419,24.35
2101108,0,2,0,0,0,1,29.53,44.34,2.24,0.59,100.2,416,1381,47.21
2101132,0,1,1,0,0,1,30.94,66.84,3.1,7.42,120.8,414,1397,36.1
2101103,6,0,1,1,1,0,31.08,50.89,2.79,0.34,104.1,451,1439,21.29
2101014,5,1,1,1,1,1,29.13,55.84,3.12,0.0,81.8,502,1334,52.08
