student_id,day_of_week,meal_time,meal_type,is_weekend,class_day,assignment_deadline,temperature_c,humidity,wind_speed,rain_mm,air_quality_index,rising_time_min,sleeping_time_min,mess_duration_min
2101021,0,0,0,0,0,1,31.84,68.35,1.88,9.36,134.6,409,1382,10.0
2101024,2,1,0,0,0,0,25.43,43.51,2.51,0.0,74.6,489,1413,29.1
2101036,3,1,0,0,0,1,25.51,52.55,2.92,0.0,75.1,477,1384,27.81
2101066,6,1,0,1,1,1,29.52,63.34,3.07,0.0,120.7,516,1421,39.18
2101062,1,0,0,0,0,1,27.85,46.45,2.22,0.0,80.2,432,1424,22.2
2101156,4,0,0,0,0,1,28.35,55.54,4.07,2.21,86.4,485,1342,19.76
2101057,5,2,0,1,1,1,28.46,51.92,3.28,0.32,87.6,508,1409,56.61
2101177,3,0,0,0,1,1,34.95,69.71,3.62,1.15,99.4,466,1434,22.56
2101151,0,0,1,0,1,1,30.21,68.51,1.0,2.07,136.4,466,1425,32.9
2101188,4,0,0,0,0,0,32.14,57.73,4.03,0.56,103.8,463,1422,22.17
2101198,4,2,0,0,0,0,33.53,54.95,3.99,1.95,90.6,492,1369,37.33
2101015,6,1,0,1,1,1,29.79,64.7,1.31,0.0,133.3,426,1392,47.27
2101136,6,1,1,1,1,1,28.63,58.82,3.0,1.53,109.0,494,1329,47.32
2101173,0,0,0,0,0,1,29.94,73.37,2.57,0.38,133.8,489,1420,16.19
2101007,0,1,0,0,1,1,29.91,36.4,2.11,0.0,100.4,345,1387,30.65
2101033,5,2,0,1,1,1,28.69,56.9,4.51,2.16,73.9,407,1353,51.11
2101060,1,2,1,0,0,1,33.57,77.32,1.73,0.52,127.3,444,1390,54.65
2101042,4,1,0,0,0,1,29.13,54.85,3.5,0.0,76.8,386,1323,37.81
2101160,1,2,1,0,0,1,33.24,74.22,3.15,0.0,118.2,485,1379,47.45
2101027,0,0,0,0,0,1,27.68,39.96,2.57,2.13,91.7,441,1439,18.15
2101184,5,0,0,1,1,1,29.9,54.65,4.17,0.0,81.4,402,1362,35.02
2101072,4,0,0,0,0,0,31.84,62.4,4.06,0.11,104.0,398,1364,29.56
2101119,5,0,1,1,1,1,30.64,59.81,2.69,1.91,89.5,514,1390,24.49
2101082,4,2,0,0,0,0,31.37,61.22,3.84,1.79,108.1,371,1422,46.2
2101070,3,2,0,0,0,1,26.56,51.53,3.25,0.0,81.1,450,1439,37.19
2101173,3,0,0,0,0,1,33.3,65.78,4.62,0.0,119.6,448,1439,19.77
2101071,0,1,1,0,0,1,31.45,64.82,3.34,7.16,124.1,481,1326,39.45
2101195,6,0,0,1,1,0,30.93,55.97,2.45,1.42,107.8,477,1439,27.51
2101127,0,2,0,0,0,1,30.13,40.11,1.96,0.0,79.3,398,1352,42.58
2101072,0,0,0,0,0,1,29.18,43.95,1.96,0.0,103.7,429,1341,18.37
2101172,1,1,1,0,0,1,26.98,48.41,2.69,0.0,88.4,517,1439,35.8
2101056,1,0,1,0,0,1,26.56,43.34,2.96,1.37,90.2,403,1327,19.0
2101068,0,2,0,0,0,1,28.63,43.92,1.48,0.0,93.6,443,1397,37.96
2101177,0,2,0,0,1,1,31.29,69.89,3.86,6.17,128.2,453,1431,46.81
2101038,5,2,0,1,1,1,31.25,53.75,2.93,3.88,86.5,515,1436,53.41
2101176,4,0,1,0,0,1,26.86,56.31,4.61,0.0,96.5,379,1420,25.99
